datetime,o,h,l,c,v,readable_time,date
1571404200000,17.2703,17.2703,17.2703,17.2703,200,2019-10-18 08:10:00,2019-10-18
1571405400000,17.13,17.13,17.05,17.085,51694,2019-10-18 08:30:00,2019-10-18
1571405700000,17.08,17.13,17.08,17.105,28029,2019-10-18 08:35:00,2019-10-18
1571406000000,17.1,17.1,17.05,17.09,60238,2019-10-18 08:40:00,2019-10-18
1571406300000,17.1,17.12,17.08,17.09,21581,2019-10-18 08:45:00,2019-10-18
1571406600000,17.09,17.12,17.08,17.11,47258,2019-10-18 08:50:00,2019-10-18
1571406900000,17.11,17.2,17.11,17.2,82221,2019-10-18 08:55:00,2019-10-18
1571407200000,17.21,17.22,17.14,17.16,61458,2019-10-18 09:00:00,2019-10-18
1571407500000,17.17,17.19,17.13,17.155,39010,2019-10-18 09:05:00,2019-10-18
1571407800000,17.155,17.16,17.11,17.125,17018,2019-10-18 09:10:00,2019-10-18
1571408100000,17.13,17.15,17.12,17.135,22848,2019-10-18 09:15:00,2019-10-18
1571408400000,17.13,17.14,17.1,17.11,9017,2019-10-18 09:20:00,2019-10-18
1571408700000,17.12,17.13,17.11,17.13,10552,2019-10-18 09:25:00,2019-10-18
1571409000000,17.135,17.16,17.12,17.155,17975,2019-10-18 09:30:00,2019-10-18
1571409300000,17.155,17.17,17.15,17.165,11092,2019-10-18 09:35:00,2019-10-18
1571409600000,17.165,17.165,17.12,17.13,14538,2019-10-18 09:40:00,2019-10-18
1571409900000,17.13,17.13,17.11,17.11,11725,2019-10-18 09:45:00,2019-10-18
1571410200000,17.11,17.13,17.11,17.125,17793,2019-10-18 09:50:00,2019-10-18
1571410500000,17.12,17.13,17.1,17.1,21733,2019-10-18 09:55:00,2019-10-18
1571410800000,17.1,17.11,17.08,17.105,34618,2019-10-18 10:00:00,2019-10-18
1571411100000,17.1,17.12,17.1,17.11,19783,2019-10-18 10:05:00,2019-10-18
1571411400000,17.1071,17.1395,17.1,17.13,23291,2019-10-18 10:10:00,2019-10-18
1571411700000,17.13,17.13,17.11,17.115,7087,2019-10-18 10:15:00,2019-10-18
1571412000000,17.115,17.12,17.1,17.1,19765,2019-10-18 10:20:00,2019-10-18
1571412300000,17.11,17.11,17.09,17.105,43950,2019-10-18 10:25:00,2019-10-18
1571412600000,17.105,17.105,17.07,17.085,13523,2019-10-18 10:30:00,2019-10-18
1571412900000,17.08,17.1,17.08,17.09,13307,2019-10-18 10:35:00,2019-10-18
1571413200000,17.09,17.1,17.08,17.09,16500,2019-10-18 10:40:00,2019-10-18
1571413500000,17.1,17.105,17.09,17.095,18999,2019-10-18 10:45:00,2019-10-18
1571413800000,17.09,17.1,17.08,17.08,13987,2019-10-18 10:50:00,2019-10-18
1571414100000,17.085,17.09,17.05,17.0575,39589,2019-10-18 10:55:00,2019-10-18
1571414400000,17.06,17.09,17.05,17.08,16487,2019-10-18 11:00:00,2019-10-18
1571414700000,17.08,17.095,17.08,17.08,12323,2019-10-18 11:05:00,2019-10-18
1571415000000,17.07,17.075,17.06,17.065,14599,2019-10-18 11:10:00,2019-10-18
1571415300000,17.06,17.06,17.03,17.03,30853,2019-10-18 11:15:00,2019-10-18
1571415600000,17.03,17.04,17.01,17.02,57113,2019-10-18 11:20:00,2019-10-18
1571415900000,17.02,17.03,17.01,17.02,16944,2019-10-18 11:25:00,2019-10-18
1571416200000,17.02,17.035,17.02,17.035,26175,2019-10-18 11:30:00,2019-10-18
1571416500000,17.035,17.06,17.03,17.04,17274,2019-10-18 11:35:00,2019-10-18
1571416800000,17.035,17.045,17.03,17.035,25688,2019-10-18 11:40:00,2019-10-18
1571417100000,17.04,17.09,17.02,17.08,97313,2019-10-18 11:45:00,2019-10-18
1571417400000,17.085,17.095,17.08,17.095,14123,2019-10-18 11:50:00,2019-10-18
1571417700000,17.09,17.0907,17.08,17.08,14747,2019-10-18 11:55:00,2019-10-18
1571418000000,17.08,17.095,17.05,17.05,21742,2019-10-18 12:00:00,2019-10-18
1571418300000,17.05,17.09,17.05,17.085,15080,2019-10-18 12:05:00,2019-10-18
1571418600000,17.09,17.105,17.08,17.1,15014,2019-10-18 12:10:00,2019-10-18
1571418900000,17.095,17.11,17.08,17.08,26216,2019-10-18 12:15:00,2019-10-18
1571419200000,17.08,17.095,17.08,17.09,28854,2019-10-18 12:20:00,2019-10-18
1571419500000,17.09,17.095,17.07,17.07,8651,2019-10-18 12:25:00,2019-10-18
1571419800000,17.07,17.08,17.06,17.07,34546,2019-10-18 12:30:00,2019-10-18
1571420100000,17.07,17.085,17.07,17.075,13813,2019-10-18 12:35:00,2019-10-18
1571420400000,17.07,17.09,17.07,17.085,28555,2019-10-18 12:40:00,2019-10-18
1571420700000,17.08,17.105,17.08,17.09,27091,2019-10-18 12:45:00,2019-10-18
1571421000000,17.09,17.105,17.09,17.1,16488,2019-10-18 12:50:00,2019-10-18
1571421300000,17.1,17.105,17.09,17.1,12886,2019-10-18 12:55:00,2019-10-18
1571421600000,17.1,17.12,17.09,17.115,30739,2019-10-18 13:00:00,2019-10-18
1571421900000,17.11,17.13,17.11,17.11,30454,2019-10-18 13:05:00,2019-10-18
1571422200000,17.11,17.13,17.1,17.125,26192,2019-10-18 13:10:00,2019-10-18
1571422500000,17.12,17.125,17.1,17.1,28023,2019-10-18 13:15:00,2019-10-18
1571422800000,17.1,17.125,17.1,17.115,33140,2019-10-18 13:20:00,2019-10-18
1571423100000,17.115,17.12,17.1,17.11,21204,2019-10-18 13:25:00,2019-10-18
1571423400000,17.11,17.125,17.11,17.125,18421,2019-10-18 13:30:00,2019-10-18
1571423700000,17.12,17.125,17.1,17.1,24145,2019-10-18 13:35:00,2019-10-18
1571424000000,17.1,17.105,17.09,17.1,27535,2019-10-18 13:40:00,2019-10-18
1571424300000,17.1,17.1,17.07,17.085,36617,2019-10-18 13:45:00,2019-10-18
1571424600000,17.085,17.1,17.08,17.085,20126,2019-10-18 13:50:00,2019-10-18
1571424900000,17.085,17.11,17.08,17.105,35071,2019-10-18 13:55:00,2019-10-18
1571425200000,17.1,17.11,17.09,17.09,38089,2019-10-18 14:00:00,2019-10-18
1571425500000,17.09,17.1,17.03,17.035,691926,2019-10-18 14:05:00,2019-10-18
1571425800000,17.03,17.04,17.02,17.035,64015,2019-10-18 14:10:00,2019-10-18
1571426100000,17.035,17.045,17.02,17.0254,40810,2019-10-18 14:15:00,2019-10-18
1571426400000,17.02,17.035,17.02,17.02,58714,2019-10-18 14:20:00,2019-10-18
1571426700000,17.02,17.035,17.02,17.025,55790,2019-10-18 14:25:00,2019-10-18
1571427000000,17.025,17.03,17.02,17.025,49412,2019-10-18 14:30:00,2019-10-18
1571427300000,17.02,17.025,16.9948,16.995,132846,2019-10-18 14:35:00,2019-10-18
1571427600000,16.995,17.0,16.97,16.975,100878,2019-10-18 14:40:00,2019-10-18
1571427900000,16.98,16.98,16.95,16.96,167074,2019-10-18 14:45:00,2019-10-18
1571428200000,16.96,16.9699,16.94,16.965,116755,2019-10-18 14:50:00,2019-10-18
1571428500000,16.96,16.97,16.94,16.95,188535,2019-10-18 14:55:00,2019-10-18
1571428800000,16.96,16.96,16.96,16.96,123883,2019-10-18 15:00:00,2019-10-18
1571430000000,16.96,16.96,16.96,16.96,1500,2019-10-18 15:20:00,2019-10-18
1571430600000,16.96,16.96,16.96,16.96,299,2019-10-18 15:30:00,2019-10-18
1571431500000,16.96,16.96,16.96,16.96,201,2019-10-18 15:45:00,2019-10-18
1571434200000,16.96,16.96,16.96,16.96,500,2019-10-18 16:30:00,2019-10-18
1571659500000,17.12,17.12,17.12,17.12,500,2019-10-21 07:05:00,2019-10-21
1571664300000,17.08,17.08,17.08,17.08,300,2019-10-21 08:25:00,2019-10-21
1571664600000,17.13,17.2,17.11,17.135,81816,2019-10-21 08:30:00,2019-10-21
1571664900000,17.14,17.155,17.11,17.15,142886,2019-10-21 08:35:00,2019-10-21
1571665200000,17.15,17.16,17.11,17.12,100074,2019-10-21 08:40:00,2019-10-21
1571665500000,17.125,17.125,17.08,17.095,58686,2019-10-21 08:45:00,2019-10-21
1571665800000,17.1,17.305,17.09,17.265,321532,2019-10-21 08:50:00,2019-10-21
1571666100000,17.265,17.29,17.23,17.28,62479,2019-10-21 08:55:00,2019-10-21
1571666400000,17.27,17.45,17.265,17.45,259898,2019-10-21 09:00:00,2019-10-21
1571666700000,17.45,17.57,17.37,17.525,497541,2019-10-21 09:05:00,2019-10-21
1571667000000,17.5239,17.535,17.45,17.5,119902,2019-10-21 09:10:00,2019-10-21
1571667300000,17.5,17.625,17.495,17.53,247512,2019-10-21 09:15:00,2019-10-21
1571667600000,17.535,17.68,17.525,17.67,327248,2019-10-21 09:20:00,2019-10-21
1571667900000,17.6627,17.73,17.61,17.715,311375,2019-10-21 09:25:00,2019-10-21
1571668200000,17.71,17.77,17.7,17.76,186818,2019-10-21 09:30:00,2019-10-21
1571668500000,17.755,17.795,17.71,17.7337,219399,2019-10-21 09:35:00,2019-10-21
1571668800000,17.74,17.74,17.64,17.6445,198145,2019-10-21 09:40:00,2019-10-21
1571669100000,17.64,17.74,17.64,17.74,129295,2019-10-21 09:45:00,2019-10-21
1571669400000,17.735,17.74,17.655,17.67,95852,2019-10-21 09:50:00,2019-10-21
1571669700000,17.67,17.68,17.65,17.65,62995,2019-10-21 09:55:00,2019-10-21
1571670000000,17.66,17.72,17.65,17.66,189752,2019-10-21 10:00:00,2019-10-21
1571670300000,17.66,17.67,17.58,17.6,217523,2019-10-21 10:05:00,2019-10-21
1571670600000,17.605,17.625,17.57,17.62,207491,2019-10-21 10:10:00,2019-10-21
1571670900000,17.62,17.66,17.61,17.635,80452,2019-10-21 10:15:00,2019-10-21
1571671200000,17.6338,17.67,17.63,17.65,102406,2019-10-21 10:20:00,2019-10-21
1571671500000,17.65,17.69,17.65,17.685,74856,2019-10-21 10:25:00,2019-10-21
1571671800000,17.68,17.68,17.63,17.63,151995,2019-10-21 10:30:00,2019-10-21
1571672100000,17.635,17.64,17.57,17.6,100069,2019-10-21 10:35:00,2019-10-21
1571672400000,17.605,17.61,17.6,17.6,54412,2019-10-21 10:40:00,2019-10-21
1571672700000,17.605,17.61,17.6,17.6,68367,2019-10-21 10:45:00,2019-10-21
1571673000000,17.6,17.65,17.6,17.635,184803,2019-10-21 10:50:00,2019-10-21
1571673300000,17.63,17.64,17.62,17.62,43579,2019-10-21 10:55:00,2019-10-21
1571673600000,17.62,17.63,17.59,17.595,85927,2019-10-21 11:00:00,2019-10-21
1571673900000,17.59,17.6,17.58,17.59,40010,2019-10-21 11:05:00,2019-10-21
1571674200000,17.59,17.595,17.55,17.555,52770,2019-10-21 11:10:00,2019-10-21
1571674500000,17.55,17.58,17.55,17.575,88808,2019-10-21 11:15:00,2019-10-21
1571674800000,17.57,17.59,17.55,17.59,98449,2019-10-21 11:20:00,2019-10-21
1571675100000,17.585,17.59,17.57,17.585,78434,2019-10-21 11:25:00,2019-10-21
1571675400000,17.585,17.59,17.57,17.585,104255,2019-10-21 11:30:00,2019-10-21
1571675700000,17.5849,17.59,17.57,17.585,79979,2019-10-21 11:35:00,2019-10-21
1571676000000,17.58,17.63,17.575,17.615,85234,2019-10-21 11:40:00,2019-10-21
1571676300000,17.615,17.63,17.61,17.615,36288,2019-10-21 11:45:00,2019-10-21
1571676600000,17.615,17.635,17.61,17.62,71970,2019-10-21 11:50:00,2019-10-21
1571676900000,17.62,17.63,17.62,17.62,31138,2019-10-21 11:55:00,2019-10-21
1571677200000,17.625,17.63,17.62,17.62,47760,2019-10-21 12:00:00,2019-10-21
1571677500000,17.62,17.65,17.615,17.645,87152,2019-10-21 12:05:00,2019-10-21
1571677800000,17.645,17.71,17.64,17.6872,188124,2019-10-21 12:10:00,2019-10-21
1571678100000,17.69,17.72,17.68,17.7,98556,2019-10-21 12:15:00,2019-10-21
1571678400000,17.705,17.71,17.63,17.63,87279,2019-10-21 12:20:00,2019-10-21
1571678700000,17.63,17.655,17.62,17.655,38675,2019-10-21 12:25:00,2019-10-21
1571679000000,17.6585,17.66,17.625,17.66,57743,2019-10-21 12:30:00,2019-10-21
1571679300000,17.65,17.66,17.62,17.635,70679,2019-10-21 12:35:00,2019-10-21
1571679600000,17.635,17.64,17.62,17.62,82290,2019-10-21 12:40:00,2019-10-21
1571679900000,17.62,17.63,17.595,17.625,84569,2019-10-21 12:45:00,2019-10-21
1571680200000,17.625,17.63,17.6,17.605,37586,2019-10-21 12:50:00,2019-10-21
1571680500000,17.6,17.65,17.6,17.65,120451,2019-10-21 12:55:00,2019-10-21
1571680800000,17.645,17.65,17.61,17.61,105272,2019-10-21 13:00:00,2019-10-21
1571681100000,17.615,17.6493,17.61,17.635,226433,2019-10-21 13:05:00,2019-10-21
1571681400000,17.635,17.67,17.635,17.66,88476,2019-10-21 13:10:00,2019-10-21
1571681700000,17.665,17.71,17.66,17.695,77927,2019-10-21 13:15:00,2019-10-21
1571682000000,17.7,17.7,17.64,17.64,162610,2019-10-21 13:20:00,2019-10-21
1571682300000,17.645,17.65,17.62,17.635,98690,2019-10-21 13:25:00,2019-10-21
1571682600000,17.635,17.635,17.62,17.62,69392,2019-10-21 13:30:00,2019-10-21
1571682900000,17.62,17.625,17.59,17.59,64685,2019-10-21 13:35:00,2019-10-21
1571683200000,17.595,17.5983,17.57,17.57,84952,2019-10-21 13:40:00,2019-10-21
1571683500000,17.575,17.5796,17.565,17.57,75750,2019-10-21 13:45:00,2019-10-21
1571683800000,17.57,17.575,17.56,17.56,97395,2019-10-21 13:50:00,2019-10-21
1571684100000,17.565,17.61,17.56,17.605,63645,2019-10-21 13:55:00,2019-10-21
