datetime,o,h,l,c,v,readable_time,date
1571405400000,39.26,39.4635,39.26,39.37,12113,2019-10-18 08:30:00,2019-10-18
1571405700000,39.235,39.2568,39.235,39.2568,1218,2019-10-18 08:35:00,2019-10-18
1571406000000,39.385,39.42,39.38,39.42,2000,2019-10-18 08:40:00,2019-10-18
1571406300000,39.415,39.68,39.415,39.68,9215,2019-10-18 08:45:00,2019-10-18
1571406600000,39.74,39.9,39.67,39.9,5693,2019-10-18 08:50:00,2019-10-18
1571406900000,39.925,40.1,39.89,40.1,4910,2019-10-18 08:55:00,2019-10-18
1571407200000,40.13,40.15,40.035,40.075,8113,2019-10-18 09:00:00,2019-10-18
1571407500000,40.06,40.14,40.01,40.14,5100,2019-10-18 09:05:00,2019-10-18
1571407800000,40.14,40.19,40.03,40.03,6750,2019-10-18 09:10:00,2019-10-18
1571408100000,40.01,40.05,39.97,39.99,7607,2019-10-18 09:15:00,2019-10-18
1571408400000,39.985,40.0,39.89,40.0,7944,2019-10-18 09:20:00,2019-10-18
1571408700000,40.0,40.01,39.95,39.96,6700,2019-10-18 09:25:00,2019-10-18
1571409000000,39.98,40.01,39.92,39.96,4491,2019-10-18 09:30:00,2019-10-18
1571409300000,39.95,40.02,39.95,40.0,5119,2019-10-18 09:35:00,2019-10-18
1571409600000,40.0,40.12,40.0,40.095,7410,2019-10-18 09:40:00,2019-10-18
1571409900000,40.11,40.155,40.095,40.11,3881,2019-10-18 09:45:00,2019-10-18
1571410200000,40.1,40.135,40.055,40.135,4363,2019-10-18 09:50:00,2019-10-18
1571410500000,40.135,40.135,40.0,40.03,3200,2019-10-18 09:55:00,2019-10-18
1571410800000,40.04,40.1,40.02,40.08,4028,2019-10-18 10:00:00,2019-10-18
1571411100000,40.09,40.15,40.07,40.15,4823,2019-10-18 10:05:00,2019-10-18
1571411400000,40.1335,40.21,40.13,40.21,4621,2019-10-18 10:10:00,2019-10-18
1571411700000,40.22,40.25,40.18,40.22,1853,2019-10-18 10:15:00,2019-10-18
1571412000000,40.2,40.2,40.131,40.131,1303,2019-10-18 10:20:00,2019-10-18
1571412300000,40.1549,40.24,40.15,40.23,4592,2019-10-18 10:25:00,2019-10-18
1571412600000,40.22,40.27,40.15,40.15,6477,2019-10-18 10:30:00,2019-10-18
1571412900000,40.12,40.15,40.07,40.1,12526,2019-10-18 10:35:00,2019-10-18
1571413200000,40.09,40.09,39.98,40.02,3500,2019-10-18 10:40:00,2019-10-18
1571413500000,40.03,40.03,39.94,39.94,2850,2019-10-18 10:45:00,2019-10-18
1571413800000,39.94,39.94,39.88,39.89,1600,2019-10-18 10:50:00,2019-10-18
1571414100000,39.895,40.0,39.88,39.95,5196,2019-10-18 10:55:00,2019-10-18
1571414400000,39.92,40.03,39.915,40.02,1650,2019-10-18 11:00:00,2019-10-18
1571414700000,39.98,40.01,39.96,39.97,1900,2019-10-18 11:05:00,2019-10-18
1571415000000,39.99,40.06,39.99,40.04,1500,2019-10-18 11:10:00,2019-10-18
1571415300000,40.03,40.1,39.98,39.99,2350,2019-10-18 11:15:00,2019-10-18
1571415600000,39.97,40.05,39.94,40.0,6400,2019-10-18 11:20:00,2019-10-18
1571415900000,40.0,40.05,39.97,40.015,4367,2019-10-18 11:25:00,2019-10-18
1571416200000,40.005,40.15,40.005,40.15,5018,2019-10-18 11:30:00,2019-10-18
1571416500000,40.165,40.2,40.15,40.2,2725,2019-10-18 11:35:00,2019-10-18
1571416800000,40.21,40.32,40.19,40.32,3971,2019-10-18 11:40:00,2019-10-18
1571417100000,40.32,40.37,40.32,40.37,1600,2019-10-18 11:45:00,2019-10-18
1571417400000,40.37,40.4,40.37,40.38,1510,2019-10-18 11:50:00,2019-10-18
1571417700000,40.4,40.4,40.34,40.38,3300,2019-10-18 11:55:00,2019-10-18
1571418000000,40.395,40.41,40.36,40.36,2400,2019-10-18 12:00:00,2019-10-18
1571418300000,40.35,40.39,40.34,40.37,4668,2019-10-18 12:05:00,2019-10-18
1571418600000,40.33,40.33,40.32,40.32,200,2019-10-18 12:10:00,2019-10-18
1571418900000,40.3,40.31,40.29,40.31,1900,2019-10-18 12:15:00,2019-10-18
1571419200000,40.29,40.43,40.29,40.43,3351,2019-10-18 12:20:00,2019-10-18
1571419500000,40.41,40.51,40.4,40.51,6450,2019-10-18 12:25:00,2019-10-18
1571419800000,40.505,40.54,40.5,40.54,3300,2019-10-18 12:30:00,2019-10-18
1571420100000,40.54,40.54,40.5,40.52,3700,2019-10-18 12:35:00,2019-10-18
1571420400000,40.53,40.54,40.51,40.54,5500,2019-10-18 12:40:00,2019-10-18
1571420700000,40.53,40.54,40.52,40.54,2200,2019-10-18 12:45:00,2019-10-18
1571421000000,40.53,40.53,40.47,40.47,2500,2019-10-18 12:50:00,2019-10-18
1571421300000,40.47,40.48,40.45,40.46,2400,2019-10-18 12:55:00,2019-10-18
1571421600000,40.48,40.55,40.44,40.44,7868,2019-10-18 13:00:00,2019-10-18
1571421900000,40.44,40.44,40.37,40.37,10276,2019-10-18 13:05:00,2019-10-18
1571422200000,40.37,40.375,40.34,40.35,4930,2019-10-18 13:10:00,2019-10-18
1571422500000,40.34,40.41,40.34,40.4,3640,2019-10-18 13:15:00,2019-10-18
1571422800000,40.4,40.425,40.4,40.41,1500,2019-10-18 13:20:00,2019-10-18
1571423100000,40.42,40.45,40.41,40.45,2844,2019-10-18 13:25:00,2019-10-18
1571423400000,40.44,40.46,40.42,40.445,3045,2019-10-18 13:30:00,2019-10-18
