datetime,o,h,l,c,v,readable_time,date
1571385600000,261.3,261.3,261.3,261.3,200,2019-10-18 03:00:00,2019-10-18
1571386500000,261.87,261.87,261.0,261.0,391,2019-10-18 03:15:00,2019-10-18
1571390400000,261.62,262.0,261.62,261.62,1200,2019-10-18 04:20:00,2019-10-18
1571392500000,262.0,262.0,262.0,262.0,200,2019-10-18 04:55:00,2019-10-18
1571393100000,262.0,262.2,262.0,262.2,585,2019-10-18 05:05:00,2019-10-18
1571396700000,262.02,262.05,262.02,262.05,200,2019-10-18 06:05:00,2019-10-18
1571397600000,261.88,261.88,261.31,261.31,300,2019-10-18 06:20:00,2019-10-18
1571397900000,261.21,261.21,261.01,261.06,966,2019-10-18 06:25:00,2019-10-18
1571398200000,261.0,261.01,260.75,260.76,1105,2019-10-18 06:30:00,2019-10-18
1571398500000,261.0,261.0,261.0,261.0,100,2019-10-18 06:35:00,2019-10-18
1571398800000,260.81,260.81,260.81,260.81,643,2019-10-18 06:40:00,2019-10-18
1571399400000,260.83,261.18,260.82,261.18,405,2019-10-18 06:50:00,2019-10-18
1571400000000,261.2,261.2,261.0,261.0,532,2019-10-18 07:00:00,2019-10-18
1571400300000,260.9,260.9,260.89,260.9,700,2019-10-18 07:05:00,2019-10-18
1571400900000,261.15,261.15,261.15,261.15,100,2019-10-18 07:15:00,2019-10-18
1571401500000,261.01,261.01,261.0,261.0,586,2019-10-18 07:25:00,2019-10-18
1571401800000,261.15,261.15,260.89,260.89,1980,2019-10-18 07:30:00,2019-10-18
1571402100000,260.77,260.78,260.75,260.75,1219,2019-10-18 07:35:00,2019-10-18
1571402400000,260.71,260.71,260.71,260.71,170,2019-10-18 07:40:00,2019-10-18
1571402700000,261.0,261.0,261.0,261.0,100,2019-10-18 07:45:00,2019-10-18
1571403600000,261.1,261.1,261.1,261.1,100,2019-10-18 08:00:00,2019-10-18
1571404500000,261.45,261.45,261.1,261.3,3161,2019-10-18 08:15:00,2019-10-18
1571404800000,261.2,261.2,261.0,261.0,1484,2019-10-18 08:20:00,2019-10-18
1571405100000,261.0,261.0,260.54,260.78,4506,2019-10-18 08:25:00,2019-10-18
1571405400000,260.7,262.3,260.65,262.25,161614,2019-10-18 08:30:00,2019-10-18
1571405700000,262.2965,262.8,260.56,260.775,161336,2019-10-18 08:35:00,2019-10-18
1571406000000,260.61,260.8,258.5,259.69,166506,2019-10-18 08:40:00,2019-10-18
1571406300000,259.6,260.74,259.55,260.06,124419,2019-10-18 08:45:00,2019-10-18
1571406600000,259.92,260.98,259.91,260.95,98943,2019-10-18 08:50:00,2019-10-18
1571406900000,260.96,261.44,260.78,261.27,61486,2019-10-18 08:55:00,2019-10-18
1571407200000,261.175,261.24,260.3105,260.365,37123,2019-10-18 09:00:00,2019-10-18
1571407500000,260.4899,260.6,259.56,260.35,63466,2019-10-18 09:05:00,2019-10-18
1571407800000,260.5,260.6,259.8,259.8,37535,2019-10-18 09:10:00,2019-10-18
1571408100000,259.8,259.8449,259.1224,259.348,62805,2019-10-18 09:15:00,2019-10-18
1571408400000,259.39,259.77,258.81,259.29,75364,2019-10-18 09:20:00,2019-10-18
1571408700000,259.37,259.5,258.7,259.48,59725,2019-10-18 09:25:00,2019-10-18
1571409000000,259.5,259.6,258.71,259.0473,57983,2019-10-18 09:30:00,2019-10-18
1571409300000,258.99,259.6,258.99,259.136,36993,2019-10-18 09:35:00,2019-10-18
1571409600000,259.15,259.1794,258.57,258.61,38533,2019-10-18 09:40:00,2019-10-18
1571409900000,258.64,258.76,258.16,258.32,61221,2019-10-18 09:45:00,2019-10-18
1571410200000,258.29,259.3,258.23,259.1311,55222,2019-10-18 09:50:00,2019-10-18
1571410500000,259.1338,259.52,258.98,259.35,49076,2019-10-18 09:55:00,2019-10-18
1571410800000,259.4,259.94,259.18,259.88,44182,2019-10-18 10:00:00,2019-10-18
1571411100000,259.85,259.85,259.34,259.6,34951,2019-10-18 10:05:00,2019-10-18
1571411400000,259.62,260.23,259.31,260.07,45093,2019-10-18 10:10:00,2019-10-18
